CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1023126,London Plane,Platanus x acerifolia,Platanus,Platanaceae,12,1900,2/1/00,Semi-Mature,6-10 years (<50% canopy),10,NA,Street,30/9/20,"(-37.80387378750354, 144.96639588683072)",-37.80387379,144.9663959,320971.1,5813997.3
1063524,Chinaberry Tree,Melia azedarach,Melia,Meliaceae,27,2000,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.798807971386154, 144.92712294353188)",-37.79880797,144.9271229,317500.85,5814483.45
1063515,Chinaberry Tree,Melia azedarach,Melia,Meliaceae,18,1900,1/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.798730235540326, 144.92721710866854)",-37.79873024,144.9272171,317508.95,5814492.26
1057680,Snow-in-Summer,Melaleuca linariifolia,Melaleuca,Myrtaceae,72,1900,1/1/00,Mature,21-30 years,30,NA,Park,30/9/20,"(-37.791337402893646, 144.92183436933254)",-37.7913374,144.9218344,317016.75,5815302.09
1015988,Golden Honeylocust,Gleditsia triacanthos,Gleditsia,Fabaceae,NA,1900,2/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.80068694064907, 144.95214119373102)",-37.80068694,144.9521412,319708.3,5814323.52
1024326,London Plane,Platanus x acerifolia,Platanus,Platanaceae,33,1900,1/1/00,Semi-Mature,1-5 years (>50% canopy),5,NA,Street,30/9/20,"(-37.81795246045011, 144.95769275704663)",-37.81795246,144.9576928,320238.99,5812418.33
1038551,Desert Ash,Fraxinus angustifolia,Fraxinus,Oleaceae,29,1900,2/1/00,Semi-Mature,11-20 years,20,NA,Park,30/9/20,"(-37.78195666860656, 144.96181366346252)",-37.78195667,144.9618137,320514.62,5816420.56
1035092,Algerian Oak,Quercus canariensis,Quercus,Fagaceae,NA,1900,1/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.84253964382064, 144.98407056523206)",-37.84253964,144.9840706,322619.87,5809740.43
1058999,Queensland kauri pine,Agathis robusta,Agathis,Araucariaceae,21,1900,2/1/00,Semi-Mature,61+ years,80,NA,Park,30/9/20,"(-37.81325830926804, 144.98271156038788)",-37.81325831,144.9827116,322430.09,5812987.08
1058889,London Plane,Platanus x acerifolia,Platanus,Platanaceae,NA,2000,7/5/00,NA,NA,NA,NA,Street,30/9/20,"(-37.81226230986785, 144.95865698079436)",-37.81226231,144.958657,320310.07,5813051.6
1062951,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,NA,2000,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.82290226452245, 144.91001294078913)",-37.82290226,144.9100129,316054.11,5811776.22
1061277,Chinese Elm,Ulmus parvifolia,Ulmus,Ulmaceae,18,2000,1/1/00,Semi-Mature,11-20 years,20,NA,Street,30/9/20,"(-37.82388249010795, 144.95920184230675)",-37.82388249,144.9592018,320386.21,5811763.2
1037303,Smooth-barked apple,Angophora costata,Angophora,Myrtaceae,39,1900,2/1/00,Semi-Mature,31-60 years,60,NA,Park,30/9/20,"(-37.81096177418497, 144.98663601760165)",-37.81096177,144.986636,322770.08,5813249.37
1017834,Crows Nest Poplar,Populus x euramericana x nigra,Populus,Salicaceae,35,1900,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.80525671353052, 144.9560314024757)",-37.80525671,144.9560314,320061.92,5813823.93
1063071,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,NA,2000,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.82673224100953, 144.90308594819479)",-37.82673224,144.9030859,315453.92,5811337.55
1025035,London Plane,Platanus x acerifolia,Platanus,Platanaceae,35,1900,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.80978013161398, 144.96401944794346)",-37.80978013,144.9640194,320776.15,5813337.34
1060989,Red Oak,Quercus rubra,Quercus,Fagaceae,15,1900,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.82616891241458, 144.9670183688827)",-37.82616891,144.9670184,321079.75,5811524.49
1042099,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.79357754819667, 144.9516483121312)",-37.79357755,144.9516483,319647.61,5815111.47
1020677,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,74,1900,2/1/00,Mature,31-60 years,60,NA,Street,30/9/20,"(-37.78076753943465, 144.94222141175)",-37.78076754,144.9422214,318786.21,5816514.71
1063497,London Plane,Platanus x acerifolia,Platanus,Platanaceae,18,2000,1/1/00,Semi-Mature,31-60 years,60,NA,Street,30/9/20,"(-37.796617142797, 144.9306952274123)",-37.79661714,144.9306952,317810.01,5814733.53
1058307,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,54,1900,2/1/00,Semi-Mature,31-60 years,60,NA,Park,30/9/20,"(-37.8156683471041, 144.98057803056886)",-37.81566835,144.980578,322248.05,5812715.59
1024783,Cyprus Plane,Platanus orientalis,Platanus,Platanaceae,NA,1900,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.812374290379175, 144.96154196769933)",-37.81237429,144.961542,320564.32,5813044.72
